delta1,alpha3,kappa,B0,alpha1,alpha2,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,wall_time_s,run_status,error_message,solver_exit_code,C0,A,log10_A,P_valid
-0.7241379310344828,2.631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477333959375e-12,43.0,6.428350122050365e-12,1.48,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,2.894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477333955879e-12,43.0,6.428350122026148e-12,1.44,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,3.1578947368421053,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477334073867e-12,43.0,6.428350122213785e-12,1.47,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,3.4210526315789473,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477334068356e-12,43.0,6.428350122210465e-12,1.29,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,3.6842105263157894,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.54047733407607e-12,43.0,6.428350122213635e-12,1.32,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,3.9473684210526314,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477333958194e-12,43.0,6.428350122049911e-12,1.29,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,4.2105263157894735,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477334068036e-12,43.0,6.428350122183435e-12,1.51,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,4.473684210526316,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477333959929e-12,43.0,6.4283501220507875e-12,1.37,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,4.7368421052631575,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477334090331e-12,43.0,6.428350122217502e-12,1.33,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.7241379310344828,5.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.540477334049741e-12,43.0,6.4283501221909494e-12,1.31,success,,0,7.5405e-04,1.206479e-06,-5.9185,true
-0.6551724137931034,0.0,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429716063e-11,44.5,3.304260458562162e-11,1.21,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,0.2631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429699938e-11,44.5,3.304260458554154e-11,1.34,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,0.5263157894736842,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429710159e-11,44.5,3.304260458554921e-11,1.63,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,0.7894736842105263,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429709609e-11,44.5,3.3042604585543456e-11,1.35,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,1.0526315789473684,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429722662e-11,44.5,3.304260458571277e-11,1.81,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,1.3157894736842104,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429699397e-11,44.5,3.3042604585536257e-11,1.2,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,1.5789473684210527,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429723606e-11,44.5,3.3042604585726676e-11,1.22,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,1.8421052631578947,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429700299e-11,44.5,3.304260458554651e-11,1.22,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,2.1052631578947367,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429717949e-11,44.5,3.30426045856461e-11,1.51,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,2.3684210526315788,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429729124e-11,44.5,3.3042604585798046e-11,1.45,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
-0.6551724137931034,2.631578947368421,1.0,0.0001,0.0,-0.6,256,50.0,auto,auto,periodic,7.226680429717887e-11,44.5,3.3042604585647306e-11,1.29,success,,0,7.2267e-03,1.156271e-05,-4.9369,true
