sample_index,alpha1,alpha2,alpha3,delta1,v1_max_excess,v2_max_excess,v1_verdict,v2_verdict,sim_verdict
45,0.603647546055743,-0.777235660732275,0.11898706425166,1.14411438780358,2.036397e-01,0.000000e+00,stable,stable,not_audited
46,0.853237505781082,1.10450415866582,0.257688667418469,1.65594641806345,2.036398e-01,0.000000e+00,stable,stable,not_audited
47,0.90360320722976,-0.725533401440058,0.0876725247038616,-1.30722644604475,2.036402e-01,0.000000e+00,stable,stable,not_audited
48,0.364172489361211,-0.0270013475302249,0.0582332103787531,-1.01974820190976,2.036098e-01,0.000000e+00,stable,stable,not_audited
49,0.901199807227578,1.48163919520533,1.07657293037224,1.74780631371006,2.036408e-01,0.000000e+00,stable,stable,not_audited
50,0.72835587193735,-1.28226710622791,0.295583828796241,0.899919864951249,2.036092e-01,0.000000e+00,stable,stable,not_audited
51,-0.0492405049435082,0.631339356146675,1.54763026720492,0.976547424218859,2.036087e-01,0.000000e+00,stable,stable,not_audited
52,0.733620238191314,-0.464526279589506,0.629997407092535,-1.06989847167459,2.036083e-01,0.000000e+00,stable,stable,not_audited
53,0.972770995314012,-1.18242270429895,0.428301718158804,1.01913303724783,2.036079e-01,0.000000e+00,stable,stable,not_audited
54,0.851572215270079,-0.860741994885297,1.88143149178696,-1.27712795071112,2.036445e-01,0.000000e+00,stable,stable,not_audited
55,0.133397947223308,0.428973137616509,0.435496970487744,1.241420060173,2.036447e-01,0.000000e+00,stable,stable,not_audited
56,0.953799767453676,0.574683950677572,0.217685202143556,-1.63483236216044,2.036449e-01,0.000000e+00,stable,stable,not_audited
57,-0.564915515025063,1.14752559342406,0.371561151786042,-1.05765445339523,2.036452e-01,0.000000e+00,stable,stable,not_audited
58,0.759586153349288,1.69683554872452,1.11030835519389,1.4272039603965,2.036074e-01,0.000000e+00,stable,stable,not_audited
59,0.92286801871088,-0.422469212631644,1.27122849826557,-1.41994350156523,2.036456e-01,0.000000e+00,stable,stable,not_audited
60,0.613584675432504,1.17264432351792,0.652356018237345,1.30242191101697,2.036071e-01,0.000000e+00,stable,stable,not_audited
61,0.22090914090037,0.571598255348317,0.107268124928076,1.06193368707986,2.036070e-01,0.000000e+00,stable,stable,not_audited
62,-0.784228088175593,0.606421868105348,0.982847715757886,-0.710268124180285,2.036464e-01,0.000000e+00,stable,stable,not_audited
63,0.283019429564777,-1.39457064333302,0.0694771324033058,0.768149634493844,2.036464e-01,0.000000e+00,stable,stable,not_audited
64,-0.869984596478143,0.629843123041398,0.994729392472403,-0.509437205876302,2.036066e-01,0.000000e+00,stable,stable,not_audited
65,-0.710223704282668,1.08425672639246,0.115659208676787,-0.956306153575903,2.036475e-01,0.000000e+00,stable,stable,not_audited
66,0.734643923791463,0.680801309583755,0.297735246569396,-1.25660520829793,2.036065e-01,0.000000e+00,stable,stable,not_audited
67,0.469997708196658,-1.33994636679787,1.2670413729918,0.935609494115596,2.036478e-01,0.000000e+00,stable,stable,not_audited
68,-0.515043223639334,1.6381827449638,0.831749185208164,-0.976137103965347,2.036063e-01,0.000000e+00,stable,stable,not_audited
69,-0.086900081665493,1.63795686942819,0.259964429391095,-1.44553987536155,2.036481e-01,0.000000e+00,stable,stable,not_audited
70,-0.52965806146196,0.734021654535005,1.12122966511552,0.757891425127517,2.036062e-01,0.000000e+00,stable,stable,not_audited
71,0.0377498130354703,0.905634520099928,1.43405641634308,-1.33584193491683,2.036486e-01,0.000000e+00,stable,stable,not_audited
72,-0.408575292064423,-0.388424045770174,0.0569909495230032,-0.467734262595229,2.036060e-01,0.000000e+00,stable,stable,not_audited
73,0.0147097866285255,1.68163330151644,0.13073804476777,-1.50913212554354,2.036494e-01,0.000000e+00,stable,stable,not_audited
74,0.689937690636438,1.20458622105789,0.48013695121139,1.68943523215469,2.036495e-01,0.000000e+00,stable,stable,not_audited
75,0.55577114608164,1.5871514477338,0.239686612393516,1.71302258950048,2.036497e-01,0.000000e+00,stable,stable,not_audited
76,0.263653778196576,1.66357842991322,0.21044008282547,-1.61459541471704,2.036500e-01,0.000000e+00,stable,stable,not_audited
77,-0.207361560606275,0.348060758591236,1.67646445218184,-0.819299792703468,2.036054e-01,0.000000e+00,stable,stable,not_audited
78,0.828961083414817,1.83435291141271,0.6182198678987,-1.4453548606742,2.036054e-01,0.000000e+00,stable,stable,not_audited
79,0.704790911128381,-1.19285540440712,0.150021214753854,-0.884211663695982,2.036052e-01,0.000000e+00,stable,stable,not_audited
80,0.114679397432014,0.829355046383649,0.878068308234709,1.36971522980639,2.036511e-01,0.000000e+00,stable,stable,not_audited
81,-0.222225505764134,0.759856781659823,0.41646591301274,-1.17537201298425,2.036513e-01,0.000000e+00,stable,stable,not_audited
82,0.489864939189755,1.90928321903993,0.47324498076362,1.76365271765295,2.036515e-01,0.000000e+00,stable,stable,not_audited
83,0.862955487496782,0.451440772215116,0.0884904498852069,-1.62683038612855,2.036521e-01,0.000000e+00,stable,stable,not_audited
84,0.671651362483557,1.3142567042782,0.173316262505134,1.72505658708038,2.036523e-01,0.000000e+00,stable,stable,not_audited
85,-0.00875063135465981,1.71167302480535,0.555959375559168,1.52658246818906,2.036526e-01,0.000000e+00,stable,stable,not_audited
86,0.271098361456403,0.183725266041451,1.45766287823883,-1.29486521588049,2.036527e-01,0.000000e+00,stable,stable,not_audited
87,0.842568242279018,0.668953289678794,0.458825086175564,-1.67333411436221,2.036535e-01,0.000000e+00,stable,stable,not_audited
88,0.637542128186242,1.29202768570852,1.37170516273715,-1.29781093463019,2.036040e-01,0.000000e+00,stable,stable,not_audited
89,0.772604774368927,-0.813196321365031,0.107428741057646,-1.30441386171675,2.036541e-01,0.000000e+00,stable,stable,not_audited
90,0.82936466089263,1.65908711544349,0.194267621303273,-1.40567695604756,2.036039e-01,0.000000e+00,stable,stable,not_audited
91,0.907587388597857,-0.294319564018944,0.106919612207483,1.50178897457758,2.036548e-01,0.000000e+00,stable,stable,not_audited
92,0.553834498895298,-1.90194634518839,0.0576300478801191,-0.609158302554144,2.036037e-01,0.000000e+00,stable,stable,not_audited
93,0.796840269459139,-1.05393313969687,0.291721289003873,1.25775769022731,2.036550e-01,0.000000e+00,stable,stable,not_audited
94,0.64856902888434,-1.46134456350202,0.888167057481747,-0.784161145171943,2.036036e-01,0.000000e+00,stable,stable,not_audited
95,-0.0674811390861407,0.268853219622986,0.0706582778069773,-0.851235496976889,2.036030e-01,0.000000e+00,stable,stable,not_audited
96,0.730584968393536,-0.102442765006629,0.100419671649455,1.47884702109824,2.036571e-01,0.000000e+00,stable,stable,not_audited
