sample,beta1,beta2,beta3,xi,delta1,chi,zeta1,zeta2,zeta3,beta_constraint_pass,max_excess,probe_pass
186,0.502285,-2.40644,0.107903,4.52085,-0.0234521,0.00266259,0.0365085,0.00632406,-0.0479356,1,0.101017,1
187,-1.2011,-1.39248,0.154457,2.30132,-0.00954667,0.00424327,-0.0206402,0.00157661,-0.00991882,0,inf,0
188,-0.0923709,-1.02348,-0.985325,8.66764,0.000343597,0.00276613,-0.0293254,0.0158258,-0.00544599,1,0.10101,1
189,0.532521,-2.14456,-0.764363,3.56929,0.00482999,0.00846122,-0.0187393,0.00561899,-0.0272136,1,0.101009,1
190,-1.19792,-1.56389,0.752979,0.164135,-0.0193618,0.00494754,0.0267723,0.019036,-0.00895331,1,4.81209,0
191,-0.523802,-2.38401,-0.94401,0.0157239,0.00396294,-0.0074961,-0.00750934,-0.0188502,0.0247307,1,14.2253,0
192,0.708374,-1.31007,-0.493415,0.0190433,-0.00890227,0.00664372,0.0273211,-0.0166171,0.0255347,1,6.21897,0
193,-0.205898,-2.90679,0.687324,3.42893,0.0160937,-0.0026577,0.0368122,0.0129542,0.0233809,1,0.399883,0
194,0.309665,-2.02635,-0.972096,0.043897,-0.0157273,-0.00865126,0.00163762,0.0164493,-0.017676,1,0.593023,0
195,-0.592758,-0.452347,-0.380374,0.0759047,-0.00559558,0.00191804,0.037055,-0.0204909,0.0443018,0,inf,0
196,0.574579,-1.70433,-0.424466,0.294043,-0.00120792,-0.0041279,0.0232446,0.00821218,0.0494271,1,0.10968,1
197,-0.258773,-0.63019,-0.355826,0.0125233,0.0230413,-0.00181742,0.0049154,0.0189369,-0.0441583,1,1.81572,0
198,-0.687798,-1.43422,0.985255,0.0162504,-0.00573898,-0.00748998,0.0276507,-0.00820855,0.0161596,1,11.0192,0
199,-0.139102,-0.786057,0.723643,3.66964,0.0154647,0.000808516,0.00488977,0.00893893,0.0441079,1,0.101005,1
200,0.627544,-2.56261,0.920128,0.0192256,-0.00872054,-0.00023926,-0.0333905,0.0150521,-0.0458056,1,0.100787,1
201,-0.900784,-1.94001,0.461034,0.324431,-0.00299948,-0.00529541,-0.00208293,-0.0191187,-0.00977346,1,3.08958,0
202,-1.38215,-1.06856,0.867075,4.17957,0.0110581,-0.00675692,-0.0165336,0.0157973,0.0391784,0,inf,0
203,-0.923578,-1.46913,0.923607,0.0263518,0.0229873,-0.00834629,0.0203289,0.00793145,0.0260013,1,10.4324,0
204,0.695309,-1.29744,0.980465,0.368584,0.0138893,0.00223245,0.00674375,-0.00843032,-0.0106405,1,0.100999,1
205,0.197405,-0.546412,-0.1024,0.145692,-0.0182204,0.00545991,-0.00122951,-0.0189531,-0.0472243,0,inf,0
206,-0.0227543,-0.454202,-0.155848,0.853448,0.0179166,0.00496276,-0.0464872,-0.0171958,-0.0198183,0,inf,0
207,-0.335507,-2.97685,0.990901,0.0715589,0.0127938,-0.00831523,-0.00401542,0.00856615,0.0234833,1,6.86166,0
208,-0.34773,-2.23416,-0.692292,0.0118535,-0.0223483,0.00544985,-0.00445583,0.00818391,0.00194347,1,13.7893,0
209,0.899824,-1.45366,0.174129,4.43699,0.0120237,-0.00646631,0.0389817,0.00763884,0.0476615,1,0.101014,1
